image_id,embedding,factual_correctness_score
000000000139,"[-0.06131327  0.12384872 -0.2284719  ...  0.03142218  0.33676469
  0.03071369]",0.7940048813819885
000000000285,"[-0.19651894  0.05117495 -0.23181514 ... -0.1509802   0.39899483
 -0.06467047]",0.8047259211540222
000000000632,"[-0.13000081  0.06704511 -0.25410056 ... -0.13470498  0.34479535
  0.04455283]",0.8563866138458252
000000000724,"[-0.16030984  0.14442658 -0.24796382 ... -0.1129059   0.35938299
 -0.14360778]",0.8805362462997437
000000000776,"[-0.25263637  0.0084935  -0.17461555 ... -0.06373697  0.35819858
  0.0424371 ]",0.8610082387924194
000000000785,"[-0.07248029  0.0441472  -0.18393685 ...  0.04400616  0.38688588
 -0.00611681]",0.8227168679237366
000000000802,"[-0.25024652  0.2722227  -0.29071897 ... -0.21499202  0.2422961
 -0.01732234]",0.8402239680290222
000000000872,"[-0.18205978  0.10743614 -0.17798434 ... -0.14277939  0.37552232
 -0.09369139]",0.8303861737251281
000000000885,"[-0.07434599  0.07192335 -0.16542916 ...  0.07270797  0.39247268
 -0.05058349]",0.7382014513015747
000000001000,"[-0.13861141  0.10661066 -0.13220355 ...  0.05950446  0.33232197
 -0.1159341 ]",0.8871046900749207
000000001268,"[-0.15074623  0.07050189 -0.09076067 ... -0.10144509  0.32765162
 -0.0820533 ]",0.8416165709495544
000000001296,"[-0.14797996  0.04009394 -0.02540366 ... -0.03027888  0.58058411
 -0.09854019]",0.9032963991165162
000000001353,"[-0.05335432 -0.00711534 -0.15323882 ...  0.08797403  0.33702543
 -0.03654775]",0.9054550886154175
000000001425,"[-0.18355247  0.05612015 -0.20353356 ... -0.12276419  0.31966519
 -0.05290837]",0.8510885119438172
000000001490,"[-0.12664779 -0.03697911 -0.26070863 ... -0.20085186  0.33814615
  0.00049625]",0.8596910238265991
000000001503,"[-0.03023407  0.06203358 -0.14396347 ... -0.04792265  0.37340713
  0.0310411 ]",0.8795329928398132
000000001532,"[-0.06947252  0.03889643 -0.1164776  ...  0.00709683  0.4068594
 -0.12633665]",0.8662249207496643
000000001584,"[-0.17785847  0.00202072 -0.15149507 ... -0.00659552  0.4873279
 -0.02912164]",0.8591203331947327
000000001675,"[-0.16638729 -0.00838133 -0.20953928 ... -0.23119406  0.43702987
 -0.05962532]",0.9002625346183777
000000001761,"[-0.15702815  0.0290857  -0.18874414 ... -0.18178469  0.30947393
 -0.03628104]",0.7586132049560547
000000001818,"[-0.26912862 -0.01127523 -0.13650553 ... -0.061249    0.47108454
 -0.003128  ]",0.836824631690979
000000001993,"[-0.09733809  0.09921567 -0.24187076 ... -0.09239736  0.33038053
  0.1035614 ]",0.8772678256034852
000000002006,"[-0.15609606  0.01588583 -0.109997   ...  0.12197565  0.42530361
 -0.01333681]",0.8162285208702087
000000002149,"[-0.02480268  0.05579143 -0.37868634 ... -0.00633533  0.49090585
 -0.04096998]",0.8930855512619018
000000002153,"[-0.04023869  0.11593632 -0.15628578 ... -0.05396286  0.35062158
 -0.05080416]",0.7246829390525817
