image_id,embedding,factual_correctness_score
000000000139,"[-0.16871417 -0.72917986  0.92602557 ... -0.43045837  0.45454714
 -0.4192664 ]",0.7940048813819885
000000000285,"[ 0.6561144  -0.23925734  0.10150282 ... -0.4561649   0.55656147
 -0.39077878]",0.8047259211540222
000000000632,"[ 0.87455428 -0.69858277  0.69226259 ... -0.02493338  0.64184558
 -0.51333809]",0.8563866138458252
000000000724,"[ 0.40890992 -0.68310118  0.39731464 ... -0.55990362  0.55939078
 -0.75496733]",0.8805362462997437
000000000776,"[-0.23293003 -0.08827616  0.58083719 ... -0.76346314  0.67275518
 -0.01161421]",0.8610082387924194
000000000785,"[ 0.69930959 -1.00559044  0.58750045 ... -0.21081775  0.19510409
 -0.60208374]",0.8227168679237366
000000000802,"[-0.21071413 -0.55760372  0.40134838 ... -0.5646162   0.09067926
 -0.27622429]",0.8402239680290222
000000000872,"[ 0.62125492 -1.02156413  0.56434339 ... -0.37127128  1.03147221
 -0.89015394]",0.8303861737251281
000000000885,"[ 0.63497961 -0.94210386  0.79537952 ... -0.35914183  1.00135446
 -0.74992007]",0.7382014513015747
000000001000,"[ 1.04217792 -1.0304482   0.59306461 ... -0.16542977  0.9770686
 -0.55997115]",0.8871046900749207
000000001268,"[ 0.19555566 -0.78497708  0.45584831 ... -0.38400462  0.71275133
 -0.53463453]",0.8416165709495544
000000001296,"[ 0.33800745 -0.83431238  0.82875305 ... -0.43958288  0.79993969
 -0.29832923]",0.9032963991165162
000000001353,"[ 0.24780118 -1.0491389   0.94393802 ...  0.05091157  0.54332781
 -0.3521564 ]",0.9054550886154175
000000001425,"[ 0.19766411 -0.65928221  0.40380853 ... -0.70869005  0.24833524
 -0.48219922]",0.8510885119438172
000000001490,"[ 0.00507794 -0.7365725   0.80969083 ... -0.48777169  0.39125812
 -0.65033174]",0.8596910238265991
000000001503,"[ 0.13895006 -0.90245879  1.06806314 ... -0.27261657  0.51050067
 -0.26115873]",0.8795329928398132
000000001532,"[ 0.25482357 -0.6171571   0.67496508 ... -0.04530478  0.71265674
 -0.49571797]",0.8662249207496643
000000001584,"[ 0.38234478 -0.87890714  0.34819815 ... -0.40866026  0.51942986
 -0.56977046]",0.8591203331947327
000000001675,"[-0.01804449 -0.40022242  0.19803976 ... -0.45507067  0.4530775
 -0.59407634]",0.9002625346183777
000000001761,"[-0.25528988 -0.67316663  0.63959843 ... -0.69287175  0.29009274
 -0.61759323]",0.7586132049560547
000000001818,"[ 1.04452109 -0.74061269  0.26081699 ... -0.22314604  0.84522831
 -0.41841486]",0.836824631690979
000000001993,"[-0.00907876 -1.00419521  0.55524224 ... -0.5054816   0.74194759
 -0.45546436]",0.8772678256034852
000000002006,"[ 0.36404485 -1.17436802  0.18374673 ... -0.26831794  0.46103036
 -0.5435546 ]",0.8162285208702087
000000002149,"[ 0.50995356 -0.73512745 -0.26179373 ... -0.47625637  0.73527771
 -1.27272153]",0.8930855512619018
000000002153,"[ 0.40018502 -0.85673386  0.40854263 ... -0.33757132  0.32504162
 -0.51854223]",0.7246829390525817
