image_id,score
COCO_train2014_000000326757,0.5680181711900152
COCO_train2014_000000270198,0.6812572367867317
COCO_train2014_000000185945,0.21442031049627552
COCO_train2014_000000533006,0.7464978537909561
COCO_train2014_000000125275,0.7934889246960416
COCO_train2014_000000335775,0.005680060850182467
COCO_train2014_000000229990,0.0655431042733653
COCO_train2014_000000061842,0.13826588622880354
COCO_train2014_000000413297,0.7717933769296784
COCO_train2014_000000291207,0.756304510530224
COCO_train2014_000000050583,0.49378302893091774
COCO_train2014_000000580851,0.08089242426298049
COCO_train2014_000000555318,0.7814413989604727
COCO_train2014_000000419907,0.5450686149458759
COCO_train2014_000000429334,0.5933461660484901
COCO_train2014_000000068420,0.8216583304162502
COCO_train2014_000000053897,0.46757130954146087
COCO_train2014_000000552001,0.8537840824757656
COCO_train2014_000000022012,0.646693360871159
COCO_train2014_000000161595,0.8708709944670042
COCO_train2014_000000350492,0.9878356916405657
COCO_train2014_000000099539,0.6850879379904439
COCO_train2014_000000551159,0.6543497584903037
COCO_train2014_000000418257,0.20536565498604753
COCO_train2014_000000024551,0.37173416764986866
COCO_train2014_000000349538,0.42773582011567624
COCO_train2014_000000562029,0.7929509337024783
COCO_train2014_000000477852,0.18524221884155367
COCO_train2014_000000536368,0.5220833863893634
COCO_train2014_000000536592,0.8625039005889835
COCO_train2014_000000487471,0.4449022001276741
COCO_train2014_000000055809,0.7550669294503946
COCO_train2014_000000242218,0.201741680832225
COCO_train2014_000000358066,0.6679695136816657
COCO_train2014_000000048794,0.32515264450797976
COCO_train2014_000000501227,0.07412044574551213
COCO_train2014_000000145135,0.12123305468586576
COCO_train2014_000000018011,0.4396877344150324
COCO_train2014_000000180239,0.1549252103263259
COCO_train2014_000000323213,0.7348422998232325
COCO_train2014_000000295540,0.6462782429883438
COCO_train2014_000000529842,0.2974959116177629
COCO_train2014_000000389608,0.5757517980933367
COCO_train2014_000000067163,0.6370589971545162
COCO_train2014_000000155892,0.6242172871554521
COCO_train2014_000000070421,0.4856923796342648
COCO_train2014_000000514676,0.11698988869859195
COCO_train2014_000000243211,0.13089698940777195
COCO_train2014_000000071182,0.20540980248930674
COCO_train2014_000000310683,0.42417489826580457
COCO_train2014_000000165231,0.3781857785280808
COCO_train2014_000000573953,0.19090133383661811
COCO_train2014_000000167075,0.02040501121402205
COCO_train2014_000000154443,0.14469265567364775
COCO_train2014_000000346853,0.9489171576100884
COCO_train2014_000000528112,0.21136108645870166
COCO_train2014_000000306681,0.6040869808786695
COCO_train2014_000000169287,0.573769675085069
COCO_train2014_000000186342,0.6226551942608305
COCO_train2014_000000325418,0.6723719154967999
COCO_train2014_000000287988,0.16577894725260955
COCO_train2014_000000360485,0.29584934889276027
COCO_train2014_000000238201,0.7253792889467995
COCO_train2014_000000044483,0.5365635295562294
COCO_train2014_000000530717,0.8229473165048949
